,Country Name,Country Code,Year,Global Hunger Index in 2017 (Global Hunger Index 2017),Population growth 1992-2015 (UN Population Division),Population (historical estimates)
51489,Trinidad and Tobago,TTO,2017,6.9,9.907578827,1478616
51733,Tunisia,TUN,2017,7.4,31.03994142,11811441
51992,Turkey,TUR,2017,2.5,40.40008986,82089824
52251,Turkmenistan,TKM,2017,12.2,42.70533455,5968388
52841,Uganda,UGA,2017,32,115.2206779,40127096
53100,Ukraine,UKR,2017,2.5,-13.14676314,44657260
54509,Uruguay,URY,2017,2.5,8.770514017,3422205
54768,Uzbekistan,UZB,2017,13.1,44.45444283,31945680
55498,Venezuela,VEN,2017,13,49.79096666,30563430
55757,Vietnam,VNM,2017,16,31.54924597,94033048
56469,Yemen,YEM,2017,36.1,101.9889711,30034386
56731,Zambia,ZMB,2017,38.2,90.48820584,17298056
56991,Zimbabwe,ZWE,2017,33.8,47.68928157,14751101
