Year Unedited,Percentage,Year Cut,Month,,Year,,,,,,
2010 JUN,2.1,2010,JUN,6,2010-06-01,,,,,,
2010 JUL,3.2,2010,JUL,7,2010-07-01,,,,,,
2010 AUG,3.7,2010,AUG,8,2010-08-01,,,,,,
2010 SEP,4.3,2010,SEP,9,2010-09-01,,,,,,
2010 OCT,3.9,2010,OCT,10,2010-10-01,,,,,,
2010 NOV,4.7,2010,NOV,11,2010-11-01,,,,,,
2010 DEC,5.1,2010,DEC,12,2010-12-01,,,,,,
2011 JAN,5.5,2011,JAN,1,2011-01-01,,,,,,
2011 FEB,5.6,2011,FEB,2,2011-02-01,,,,,,
2011 MAR,4.7,2011,MAR,3,2011-03-01,,,,,,
2011 APR,4.5,2011,APR,4,2011-04-01,,,,,,
2011 MAY,5.6,2011,MAY,5,2011-05-01,,,,,,
2011 JUN,6.4,2011,JUN,6,2011-06-01,,,,,,
2011 JUL,5.8,2011,JUL,7,2011-07-01,,,,,,
2011 AUG,6,2011,AUG,8,2011-08-01,,,,,,
2011 SEP,6.1,2011,SEP,9,2011-09-01,,,,,,
2011 OCT,5.3,2011,OCT,10,2011-10-01,,,,,,
2011 NOV,4.7,2011,NOV,11,2011-11-01,,,,,,
2011 DEC,4.5,2011,DEC,12,2011-12-01,,,,,,
2012 JAN,3.8,2012,JAN,1,2012-01-01,,,,,,
2012 FEB,3.8,2012,FEB,2,2012-02-01,,,,,,
2012 MAR,4.2,2012,MAR,3,2012-03-01,,,,,,
2012 APR,4,2012,APR,4,2012-04-01,,,,,,
2012 MAY,3.3,2012,MAY,5,2012-05-01,,,,,,
2012 JUN,2.6,2012,JUN,6,2012-06-01,,,,,,
2012 JUL,2.6,2012,JUL,7,2012-07-01,,,,,,
2012 AUG,2.3,2012,AUG,8,2012-08-01,,,,,,
2012 SEP,2.2,2012,SEP,9,2012-09-01,,,,,,
2012 OCT,3.1,2012,OCT,10,2012-10-01,,,,,,
2012 NOV,3.5,2012,NOV,11,2012-11-01,,,,,,
2012 DEC,3.3,2012,DEC,12,2012-12-01,,,,,,
2013 JAN,3.7,2013,JAN,1,2013-01-01,,,,,,
2013 FEB,3.4,2013,FEB,2,2013-02-01,,,,,,
2013 MAR,3.5,2013,MAR,3,2013-03-01,,,,,,
2013 APR,4,2013,APR,4,2013-04-01,,,,,,
2013 MAY,3.8,2013,MAY,5,2013-05-01,,,,,,
2013 JUN,3.5,2013,JUN,6,2013-06-01,,,,,,
2013 JUL,3.4,2013,JUL,7,2013-07-01,,,,,,
2013 AUG,3.8,2013,AUG,8,2013-08-01,,,,,,
2013 SEP,3.6,2013,SEP,9,2013-09-01,,,,,,
2013 OCT,3.4,2013,OCT,10,2013-10-01,,,,,,
2013 NOV,2.6,2013,NOV,11,2013-11-01,,,,,,
2013 DEC,2.1,2013,DEC,12,2013-12-01,,,,,,
2014 JAN,2.2,2014,JAN,1,2014-01-01,,,,,,
2014 FEB,2,2014,FEB,2,2014-02-01,,,,,,
2014 MAR,2.1,2014,MAR,3,2014-03-01,,,,,,
2014 APR,1.2,2014,APR,4,2014-04-01,,,,,,
2014 MAY,0.4,2014,MAY,5,2014-05-01,,,,,,
2014 JUN,1,2014,JUN,6,2014-06-01,,,,,,
2014 JUL,0.6,2014,JUL,7,2014-07-01,,,,,,
2014 AUG,0.1,2014,AUG,8,2014-08-01,,,,,,
2014 SEP,-0.1,2014,SEP,9,2014-09-01,,,,,,
2014 OCT,-0.1,2014,OCT,10,2014-10-01,,,,,,
2014 NOV,-0.5,2014,NOV,11,2014-11-01,,,,,,
2014 DEC,-0.4,2014,DEC,12,2014-12-01,,,,,,
2015 JAN,-1.1,2015,JAN,1,2015-01-01,,,,,,
2015 FEB,-1.5,2015,FEB,2,2015-02-01,,,,,,
2015 MAR,-1.5,2015,MAR,3,2015-03-01,,,,,,
2015 APR,-1.3,2015,APR,4,2015-04-01,,,,,,
2015 MAY,-0.8,2015,MAY,5,2015-05-01,,,,,,
2015 JUN,-1,2015,JUN,6,2015-06-01,,,,,,
2015 JUL,-1.4,2015,JUL,7,2015-07-01,,,,,,
2015 AUG,-1,2015,AUG,8,2015-08-01,,,,,,
2015 SEP,-0.9,2015,SEP,9,2015-09-01,,,,,,
2015 OCT,-1.3,2015,OCT,10,2015-10-01,,,,,,
2015 NOV,-0.8,2015,NOV,11,2015-11-01,,,,,,
2015 DEC,-1.1,2015,DEC,12,2015-12-01,,,,,,
2016 JAN,-1.2,2016,JAN,1,2016-01-01,,,,,,
2016 FEB,-1,2016,FEB,2,2016-02-01,,,,,,
2016 MAR,-1,2016,MAR,3,2016-03-01,,,,,,
2016 APR,-1,2016,APR,4,2016-04-01,,,,,,
2016 MAY,-1.1,2016,MAY,5,2016-05-01,,,,,,
2016 JUN,-1.2,2016,JUN,6,2016-06-01,,,,,,
2016 JUL,-0.9,2016,JUL,7,2016-07-01,,,,,,
2016 AUG,-0.7,2016,AUG,8,2016-08-01,,,,,,
2016 SEP,-0.8,2016,SEP,9,2016-09-01,,,,,,
2016 OCT,-0.8,2016,OCT,10,2016-10-01,,,,,,
2016 NOV,-0.5,2016,NOV,11,2016-11-01,,,,,,
2016 DEC,0,2016,DEC,12,2016-12-01,,,,,,
2017 JAN,0.5,2017,JAN,1,2017-01-01,,,,,,
2017 FEB,1.2,2017,FEB,2,2017-02-01,,,,,,
2017 MAR,1.6,2017,MAR,3,2017-03-01,,,,,,
2017 APR,1.9,2017,APR,4,2017-04-01,,,,,,
2017 MAY,2.4,2017,MAY,5,2017-05-01,,,,,,
2017 JUN,2.5,2017,JUN,6,2017-06-01,,,,,,
2017 JUL,2.8,2017,JUL,7,2017-07-01,,,,,,
2017 AUG,2.4,2017,AUG,8,2017-08-01,,,,,,
2017 SEP,3.2,2017,SEP,9,2017-09-01,,,,,,
2017 OCT,3.8,2017,OCT,10,2017-10-01,,,,,,
2017 NOV,3.7,2017,NOV,11,2017-11-01,,,,,,
2017 DEC,3.7,2017,DEC,12,2017-12-01,,,,,,
2018 JAN,3.3,2018,JAN,1,2018-01-01,,,,,,
2018 FEB,2.6,2018,FEB,2,2018-02-01,,,,,,
2018 MAR,2.7,2018,MAR,3,2018-03-01,,,,,,
2018 APR,2.6,2018,APR,4,2018-04-01,,,,,,
2018 MAY,2.3,2018,MAY,5,2018-05-01,,,,,,
2018 JUN,2.2,2018,JUN,6,2018-06-01,,,,,,
2018 JUL,2.4,2018,JUL,7,2018-07-01,,,,,,
2018 AUG,2.6,2018,AUG,8,2018-08-01,,,,,,
2018 SEP,1.8,2018,SEP,9,2018-09-01,,,,,,
2018 OCT,1.3,2018,OCT,10,2018-10-01,,,,,,
2018 NOV,1.2,2018,NOV,11,2018-11-01,,,,,,
2018 DEC,1.4,2018,DEC,12,2018-12-01,,,,,,
2019 JAN,1.6,2019,JAN,1,2019-01-01,,,,,,
2019 FEB,2.1,2019,FEB,2,2019-02-01,,,,,,
2019 MAR,1.8,2019,MAR,3,2019-03-01,,,,,,
2019 APR,1.5,2019,APR,4,2019-04-01,,,,,,
2019 MAY,1.7,2019,MAY,5,2019-05-01,,,,,,
2019 JUN,2.1,2019,JUN,6,2019-06-01,,,,,,
2019 JUL,1.9,2019,JUL,7,2019-07-01,,,,,,
2019 AUG,2.3,2019,AUG,8,2019-08-01,,,,,,
2019 SEP,2,2019,SEP,9,2019-09-01,,,,,,
2019 OCT,2,2019,OCT,10,2019-10-01,,,,,,
2019 NOV,2.4,2019,NOV,11,2019-11-01,,,,,,
2019 DEC,2,2019,DEC,12,2019-12-01,,,,,,
2020 JAN,2,2020,JAN,1,2020-01-01,,,,,,
2020 FEB,1.6,2020,FEB,2,2020-02-01,,,,,,
2020 MAR,1.9,2020,MAR,3,2020-03-01,,,,,,
2020 APR,2.3,2020,APR,4,2020-04-01,,,,,,
2020 MAY,2.4,2020,MAY,5,2020-05-01,,,,,,
2020 JUN,1.9,2020,JUN,6,2020-06-01,,,,,,
2020 JUL,1.7,2020,JUL,7,2020-07-01,,,,,,
2020 AUG,-2.1,2020,AUG,8,2020-08-01,,,,,,
2020 SEP,0.3,2020,SEP,9,2020-09-01,,,,,,
2020 OCT,0.8,2020,OCT,10,2020-10-01,,,,,,
2020 NOV,-0.2,2020,NOV,11,2020-11-01,,,,,,
2020 DEC,-0.3,2020,DEC,12,2020-12-01,,,,,,
2021 JAN,0.1,2021,JAN,1,2021-01-01,,,,,,
2021 FEB,0.2,2021,FEB,2,2021-02-01,,,,,,
2021 MAR,-0.7,2021,MAR,3,2021-03-01,,,,,,
2021 APR,0.1,2021,APR,4,2021-04-01,,,,,,
2021 MAY,-0.4,2021,MAY,5,2021-05-01,,,,,,
2021 JUN,0.3,2021,JUN,6,2021-06-01,,,,,,
2021 JUL,0.2,2021,JUL,7,2021-07-01,,,,,,
2021 AUG,4.4,2021,AUG,8,2021-08-01,,,,,,
2021 SEP,2,2021,SEP,9,2021-09-01,,,,,,
2021 OCT,2.3,2021,OCT,10,2021-10-01,,,,,,
2021 NOV,3.6,2021,NOV,11,2021-11-01,,,,,,
2021 DEC,4.5,2021,DEC,12,2021-12-01,,,,,,
2022 JAN,5,2022,JAN,1,2022-01-01,,,,,,
2022 FEB,5.4,2022,FEB,2,2022-02-01,,,,,,
2022 MAR,6.2,2022,MAR,3,2022-03-01,,,,,,
2022 APR,6.9,2022,APR,4,2022-04-01,,,,,,
2022 MAY,8.6,2022,MAY,5,2022-05-01,,,,,,
2022 JUN,9.5,2022,JUN,6,2022-06-01,,,,,,
2022 JUL,11.9,2022,JUL,7,2022-07-01,,,,,,
2022 AUG,12.4,2022,AUG,8,2022-08-01,,,,,,
2022 SEP,13.6,2022,SEP,9,2022-09-01,,,,,,
2022 OCT,15,2022,OCT,10,2022-10-01,,,,,,
2022 NOV,15.2,2022,NOV,11,2022-11-01,,,,,,
