Year Unedited,Percentage,Year Cut,Month,,Year,,,,,,
1983 JAN,2.7,1983,JAN,1,1983-01-01,,,,,,
1983 FEB,2.5,1983,FEB,2,1983-02-01,,,,,,
1983 MAR,1.8,1983,MAR,3,1983-03-01,,,,,,
1983 APR,1.6,1983,APR,4,1983-04-01,,,,,,
1983 MAY,1,1983,MAY,5,1983-05-01,,,,,,
1983 JUN,2.4,1983,JUN,6,1983-06-01,,,,,,
1983 JUL,3.6,1983,JUL,7,1983-07-01,,,,,,
1983 AUG,5.1,1983,AUG,8,1983-08-01,,,,,,
1983 SEP,5.9,1983,SEP,9,1983-09-01,,,,,,
1983 OCT,6.2,1983,OCT,10,1983-10-01,,,,,,
1983 NOV,6,1983,NOV,11,1983-11-01,,,,,,
1983 DEC,6.3,1983,DEC,12,1983-12-01,,,,,,
1984 JAN,6.3,1984,JAN,1,1984-01-01,,,,,,
1984 FEB,6.6,1984,FEB,2,1984-02-01,,,,,,
1984 MAR,7.2,1984,MAR,3,1984-03-01,,,,,,
1984 APR,7.5,1984,APR,4,1984-04-01,,,,,,
1984 MAY,8,1984,MAY,5,1984-05-01,,,,,,
1984 JUN,7.3,1984,JUN,6,1984-06-01,,,,,,
1984 JUL,6.8,1984,JUL,7,1984-07-01,,,,,,
1984 AUG,6,1984,AUG,8,1984-08-01,,,,,,
1984 SEP,4.4,1984,SEP,9,1984-09-01,,,,,,
1984 OCT,4.3,1984,OCT,10,1984-10-01,,,,,,
1984 NOV,4,1984,NOV,11,1984-11-01,,,,,,
1984 DEC,3.6,1984,DEC,12,1984-12-01,,,,,,
1985 JAN,3.8,1985,JAN,1,1985-01-01,,,,,,
1985 FEB,3.9,1985,FEB,2,1985-02-01,,,,,,
1985 MAR,4,1985,MAR,3,1985-03-01,,,,,,
1985 APR,4,1985,APR,4,1985-04-01,,,,,,
1985 MAY,3.4,1985,MAY,5,1985-05-01,,,,,,
1985 JUN,3.3,1985,JUN,6,1985-06-01,,,,,,
1985 JUL,2.6,1985,JUL,7,1985-07-01,,,,,,
1985 AUG,3.2,1985,AUG,8,1985-08-01,,,,,,
1985 SEP,3.9,1985,SEP,9,1985-09-01,,,,,,
1985 OCT,3.4,1985,OCT,10,1985-10-01,,,,,,
1985 NOV,3.7,1985,NOV,11,1985-11-01,,,,,,
1985 DEC,4,1985,DEC,12,1985-12-01,,,,,,
1986 JAN,3.7,1986,JAN,1,1986-01-01,,,,,,
1986 FEB,3.9,1986,FEB,2,1986-02-01,,,,,,
1986 MAR,3.6,1986,MAR,3,1986-03-01,,,,,,
1986 APR,3.3,1986,APR,4,1986-04-01,,,,,,
1986 MAY,3.7,1986,MAY,5,1986-05-01,,,,,,
1986 JUN,4,1986,JUN,6,1986-06-01,,,,,,
1986 JUL,4.2,1986,JUL,7,1986-07-01,,,,,,
1986 AUG,4.4,1986,AUG,8,1986-08-01,,,,,,
1986 SEP,4.3,1986,SEP,9,1986-09-01,,,,,,
1986 OCT,4.2,1986,OCT,10,1986-10-01,,,,,,
1986 NOV,3.8,1986,NOV,11,1986-11-01,,,,,,
1986 DEC,3.9,1986,DEC,12,1986-12-01,,,,,,
1987 JAN,4.4,1987,JAN,1,1987-01-01,,,,,,
1987 FEB,,1987,FEB,2,1987-02-01,,,,,,
1987 MAR,,1987,MAR,3,1987-03-01,,,,,,
1987 APR,,1987,APR,4,1987-04-01,,,,,,
1987 MAY,,1987,MAY,5,1987-05-01,,,,,,
1987 JUN,,1987,JUN,6,1987-06-01,,,,,,
1987 JUL,,1987,JUL,7,1987-07-01,,,,,,
1987 AUG,,1987,AUG,8,1987-08-01,,,,,,
1987 SEP,,1987,SEP,9,1987-09-01,,,,,,
1987 OCT,,1987,OCT,10,1987-10-01,,,,,,
1987 NOV,,1987,NOV,11,1987-11-01,,,,,,
1987 DEC,,1987,DEC,12,1987-12-01,,,,,,
1988 JAN,3.7,1988,JAN,1,1988-01-01,,,,,,
1988 FEB,3.7,1988,FEB,2,1988-02-01,,,,,,
1988 MAR,4,1988,MAR,3,1988-03-01,,,,,,
1988 APR,3.7,1988,APR,4,1988-04-01,,,,,,
1988 MAY,3.5,1988,MAY,5,1988-05-01,,,,,,
1988 JUN,4.1,1988,JUN,6,1988-06-01,,,,,,
1988 JUL,4.3,1988,JUL,7,1988-07-01,,,,,,
1988 AUG,4.3,1988,AUG,8,1988-08-01,,,,,,
1988 SEP,4.9,1988,SEP,9,1988-09-01,,,,,,
1988 OCT,4.5,1988,OCT,10,1988-10-01,,,,,,
1988 NOV,4.6,1988,NOV,11,1988-11-01,,,,,,
1988 DEC,4.6,1988,DEC,12,1988-12-01,,,,,,
1989 JAN,4.8,1989,JAN,1,1989-01-01,,,,,,
1989 FEB,4.5,1989,FEB,2,1989-02-01,,,,,,
1989 MAR,4.7,1989,MAR,3,1989-03-01,,,,,,
1989 APR,5.2,1989,APR,4,1989-04-01,,,,,,
1989 MAY,5.5,1989,MAY,5,1989-05-01,,,,,,
1989 JUN,5.7,1989,JUN,6,1989-06-01,,,,,,
1989 JUL,6.1,1989,JUL,7,1989-07-01,,,,,,
1989 AUG,6.1,1989,AUG,8,1989-08-01,,,,,,
1989 SEP,6.2,1989,SEP,9,1989-09-01,,,,,,
1989 OCT,7,1989,OCT,10,1989-10-01,,,,,,
1989 NOV,7.2,1989,NOV,11,1989-11-01,,,,,,
1989 DEC,7.4,1989,DEC,12,1989-12-01,,,,,,
1990 JAN,7.8,1990,JAN,1,1990-01-01,,,,,,
1990 FEB,8.3,1990,FEB,2,1990-02-01,,,,,,
1990 MAR,8.3,1990,MAR,3,1990-03-01,,,,,,
1990 APR,8.2,1990,APR,4,1990-04-01,,,,,,
1990 MAY,8.7,1990,MAY,5,1990-05-01,,,,,,
1990 JUN,8.4,1990,JUN,6,1990-06-01,,,,,,
1990 JUL,8.1,1990,JUL,7,1990-07-01,,,,,,
1990 AUG,8.6,1990,AUG,8,1990-08-01,,,,,,
1990 SEP,8.3,1990,SEP,9,1990-09-01,,,,,,
1990 OCT,7.6,1990,OCT,10,1990-10-01,,,,,,
1990 NOV,7.5,1990,NOV,11,1990-11-01,,,,,,
1990 DEC,7.2,1990,DEC,12,1990-12-01,,,,,,
1991 JAN,6.6,1991,JAN,1,1991-01-01,,,,,,
1991 FEB,6.9,1991,FEB,2,1991-02-01,,,,,,
1991 MAR,6.5,1991,MAR,3,1991-03-01,,,,,,
1991 APR,7.2,1991,APR,4,1991-04-01,,,,,,
1991 MAY,6.1,1991,MAY,5,1991-05-01,,,,,,
1991 JUN,7,1991,JUN,6,1991-06-01,,,,,,
1991 JUL,6.8,1991,JUL,7,1991-07-01,,,,,,
1991 AUG,6.6,1991,AUG,8,1991-08-01,,,,,,
1991 SEP,5.6,1991,SEP,9,1991-09-01,,,,,,
1991 OCT,5.6,1991,OCT,10,1991-10-01,,,,,,
1991 NOV,5.7,1991,NOV,11,1991-11-01,,,,,,
1991 DEC,5.5,1991,DEC,12,1991-12-01,,,,,,
1992 JAN,5.6,1992,JAN,1,1992-01-01,,,,,,
1992 FEB,5.1,1992,FEB,2,1992-02-01,,,,,,
1992 MAR,5.2,1992,MAR,3,1992-03-01,,,,,,
1992 APR,3.3,1992,APR,4,1992-04-01,,,,,,
1992 MAY,3.7,1992,MAY,5,1992-05-01,,,,,,
1992 JUN,2.5,1992,JUN,6,1992-06-01,,,,,,
